,run,graph,diameter,edge_density,nodes,edges,objective,algorithm
1,4,football,1.0,1.0,9,36,edge_surplus,localSearchOQC
2,4,email-EU-core,2.0,0.5380333951762524,99,2610,edge_surplus,localSearchOQC
3,4,C-elegans-frontal,3.0,0.5,12,33,edge_surplus,localSearchOQC
4,4,wiki-Vote,2.0,0.4142543859649122,96,1889,edge_surplus,localSearchOQC
0,3,dolphins,2.0,0.6,6,9,edge_surplus,localSearchOQC
1,3,football,1.0,1.0,9,36,edge_surplus,localSearchOQC
2,3,email-EU-core,2.0,0.5380333951762524,99,2610,edge_surplus,localSearchOQC
3,3,C-elegans-frontal,3.0,0.5,12,33,edge_surplus,localSearchOQC
4,3,wiki-Vote,2.0,0.4142543859649122,96,1889,edge_surplus,localSearchOQC
0,2,dolphins,2.0,0.6,6,9,edge_surplus,localSearchOQC
1,2,football,1.0,1.0,9,36,edge_surplus,localSearchOQC
2,2,email-EU-core,2.0,0.5380333951762524,99,2610,edge_surplus,localSearchOQC
3,2,C-elegans-frontal,3.0,0.5,12,33,edge_surplus,localSearchOQC
4,2,wiki-Vote,2.0,0.4142543859649122,96,1889,edge_surplus,localSearchOQC
0,5,dolphins,2.0,0.6,6,9,edge_surplus,localSearchOQC
1,5,football,1.0,1.0,9,36,edge_surplus,localSearchOQC
2,5,email-EU-core,2.0,0.5380333951762524,99,2610,edge_surplus,localSearchOQC
3,5,C-elegans-frontal,3.0,0.5,12,33,edge_surplus,localSearchOQC
4,5,wiki-Vote,2.0,0.4142543859649122,96,1889,edge_surplus,localSearchOQC
0,9,dolphins,3.0,0.6388888888888888,9,23,modified_edge_surplus,localSearchOQC
1,9,football,1.0,1.0,9,36,modified_edge_surplus,localSearchOQC
2,9,email-EU-core,2.0,0.5374149659863946,99,2607,modified_edge_surplus,localSearchOQC
3,9,C-elegans-frontal,2.0,0.5294117647058824,17,72,modified_edge_surplus,localSearchOQC
4,9,wiki-Vote,2.0,0.4142543859649122,96,1889,modified_edge_surplus,localSearchOQC
0,0,dolphins,2.0,0.6666666666666666,6,10,modified_edge_surplus,localSearchOQC
0,7,dolphins,3.0,0.6388888888888888,9,23,modified_edge_surplus,localSearchOQC
1,7,football,1.0,1.0,9,36,modified_edge_surplus,localSearchOQC
2,7,email-EU-core,2.0,0.5374149659863946,99,2607,modified_edge_surplus,localSearchOQC
3,7,C-elegans-frontal,2.0,0.5294117647058824,17,72,modified_edge_surplus,localSearchOQC
4,7,wiki-Vote,2.0,0.4142543859649122,96,1889,modified_edge_surplus,localSearchOQC
0,6,dolphins,3.0,0.6388888888888888,9,23,modified_edge_surplus,localSearchOQC
1,6,football,1.0,1.0,9,36,modified_edge_surplus,localSearchOQC
2,6,email-EU-core,2.0,0.5374149659863946,99,2607,modified_edge_surplus,localSearchOQC
3,6,C-elegans-frontal,2.0,0.5294117647058824,17,72,modified_edge_surplus,localSearchOQC
4,6,wiki-Vote,2.0,0.4142543859649122,96,1889,modified_edge_surplus,localSearchOQC
0,1,dolphins,3.0,0.6388888888888888,9,23,modified_edge_surplus,localSearchOQC
1,1,football,1.0,1.0,9,36,modified_edge_surplus,localSearchOQC
2,1,email-EU-core,2.0,0.5374149659863946,99,2607,modified_edge_surplus,localSearchOQC
3,1,C-elegans-frontal,2.0,0.5294117647058824,17,72,modified_edge_surplus,localSearchOQC
4,1,wiki-Vote,2.0,0.4142543859649122,96,1889,modified_edge_surplus,localSearchOQC
0,10,dolphins,3.0,0.6388888888888888,9,23,modified_edge_surplus,localSearchOQC
1,10,football,1.0,1.0,9,36,modified_edge_surplus,localSearchOQC
2,10,email-EU-core,2.0,0.5374149659863946,99,2607,modified_edge_surplus,localSearchOQC
3,10,C-elegans-frontal,2.0,0.5294117647058824,17,72,modified_edge_surplus,localSearchOQC
4,10,wiki-Vote,2.0,0.4142543859649122,96,1889,modified_edge_surplus,localSearchOQC
0,8,dolphins,3.0,0.6388888888888888,9,23,modified_edge_surplus,localSearchOQC
1,8,football,1.0,1.0,9,36,modified_edge_surplus,localSearchOQC
2,8,email-EU-core,2.0,0.5374149659863946,99,2607,modified_edge_surplus,localSearchOQC
3,8,C-elegans-frontal,2.0,0.5294117647058824,17,72,modified_edge_surplus,localSearchOQC
4,8,wiki-Vote,2.0,0.4142543859649122,96,1889,modified_edge_surplus,localSearchOQC
0,4,dolphins,3.0,0.6388888888888888,9,23,modified_edge_surplus,localSearchOQC
1,4,football,1.0,1.0,9,36,modified_edge_surplus,localSearchOQC
2,4,email-EU-core,2.0,0.5374149659863946,99,2607,modified_edge_surplus,localSearchOQC
3,4,C-elegans-frontal,2.0,0.5294117647058824,17,72,modified_edge_surplus,localSearchOQC
